,Brands,Model,Processor,RAM,ROM,Battery,Screen_Size,Prices
470,Samsung,Galaxy,3.0,4,64,5299,10.28,32999
471,Xiaomi,Mi,2.2,6,64,8720,10.9,29107
472,Samsung,Galaxy,2.0,4,64,8200,10.4,25999
473,Motorola,Moto,2.2,4,64,5299,10.28,19999
474,Lenovo,Tab,2.0,4,128,5299,10.28,23999
475,Xiaomi,Redmi,2.2,4,128,7040,14.6,19499
476,Realme,Pad,2.0,4,64,5299,10.28,25999
477,Apple,iPad,3.2,4,64,8000,10.95,28990
478,Xiaomi,Mi,2.0,4,64,5299,10.28,39999
479,OnePlus,Pad,2.2,6,64,8000,10.2,39999
480,Xiaomi,Mi,2.0,4,128,7100,12.4,29107
481,Nokia,T21,2.96,4,64,8040,10.36,18999
482,Samsung,Galaxy,96.0,4,32,7040,10.4,25999
483,Xiaomi,Redmi,3.2,4,64,5299,10.28,16999
484,Xiaomi,Redmi,2.0,4,128,5299,10.28,19499
485,Realme,Pad,2.2,8,256,8040,10.61,16490
486,Samsung,Galaxy,2.0,4,64,5299,10.28,22990
487,Samsung,Galaxy,2.65,4,64,5299,10.28,20999
488,Vivo,Pad,65.0,3,64,7100,10.61,28990
489,Realme,Pad,3.2,6,128,8340,10.4,14999
490,Realme,Pad,2.0,4,64,5299,10.28,27999
491,Xiaomi,Mi,2.84,4,64,5299,10.28,28448
492,Apple,iPad,84.0,4,128,5299,10.28,62900
493,Realme,Pad,2.96,6,64,8720,10.58,19999
494,Xiaomi,Pad,96.0,6,64,7100,10.5,34999
495,Samsung,Galaxy,2.3,6,256,8720,10.4,111999
496,Xiaomi,Mi,3.0,4,64,5299,10.28,28448
497,Realme,Pad,2.2,4,64,5299,10.28,16490
498,Samsung,Galaxy,2.0,12,64,11200,10.95,32999
499,Xiaomi,Mi,2.2,4,64,8340,10.9,29107
500,Samsung,Galaxy,2.0,4,64,5299,10.28,25999
501,Motorola,Moto,2.2,8,256,8600,10.4,19999
502,Lenovo,Tab,2.0,6,64,10090,14.6,23999
503,Xiaomi,Redmi,3.2,6,64,8720,10.95,19499
504,Realme,Pad,2.0,4,128,8200,10.2,25999
505,Apple,iPad,2.2,4,64,5299,10.28,28990
506,Xiaomi,Mi,2.0,4,128,5299,10.28,39999
507,OnePlus,Pad,2.96,4,64,7040,12.4,39999
508,Xiaomi,Mi,96.0,4,64,5299,10.28,29107
509,Nokia,T21,3.2,4,64,8000,10.36,18999
510,Samsung,Galaxy,2.0,4,64,5299,10.28,25999
511,Xiaomi,Redmi,2.2,4,128,5299,10.28,16999
512,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
513,Realme,Pad,2.0,6,128,8000,10.4,16490
514,Samsung,Galaxy,2.65,4,64,5299,10.28,22990
515,Samsung,Galaxy,65.0,4,64,5299,10.28,20999
516,Vivo,Pad,3.2,4,64,7100,10.61,28990
517,Realme,Pad,2.0,4,64,5299,10.28,14999
518,Realme,Pad,2.84,4,64,8040,10.61,27999
519,Xiaomi,Mi,84.0,4,64,5299,10.28,28448
520,Apple,iPad,2.96,4,64,7040,10.4,62900
521,Realme,Pad,96.0,4,64,5299,10.28,19999
522,Xiaomi,Pad,2.3,4,64,5299,10.28,34999
523,Samsung,Galaxy,3.0,8,64,8040,10.58,111999
524,Xiaomi,Mi,2.2,3,128,7100,10.5,28448
525,Realme,Pad,2.0,4,64,5299,10.28,16490
526,Samsung,Galaxy,2.2,6,32,8340,10.4,32999
527,Xiaomi,Mi,2.0,4,64,5299,10.28,29107
528,Samsung,Galaxy,2.2,6,64,8720,10.95,25999
529,Motorola,Moto,2.0,6,128,7100,10.9,19999
530,Lenovo,Tab,3.2,6,256,8720,10.4,23999
531,Xiaomi,Redmi,2.0,4,64,5299,10.28,19499
532,Realme,Pad,2.2,12,64,11200,14.6,25999
533,Apple,iPad,2.0,4,64,8340,10.95,28990
534,Xiaomi,Mi,2.96,8,64,8600,10.2,39999
535,OnePlus,Pad,96.0,4,128,5299,10.28,39999
536,Xiaomi,Mi,3.2,4,128,5299,10.28,29107
537,Nokia,T21,2.0,6,256,10090,12.4,18999
538,Samsung,Galaxy,2.2,6,64,8720,10.36,25999
539,Xiaomi,Redmi,2.0,4,64,5299,10.28,16999
540,Xiaomi,Redmi,2.65,4,64,8200,10.4,19499
541,Realme,Pad,2.2,4,64,7040,10.61,16490
542,Samsung,Galaxy,65.0,4,64,8000,10.61,22990
543,Samsung,Galaxy,3.2,4,256,5299,10.28,20999
544,Vivo,Pad,2.0,4,64,5299,10.28,28990
545,Realme,Pad,2.84,6,64,8000,10.4,14999
546,Realme,Pad,84.0,4,128,7100,10.58,27999
547,Xiaomi,Mi,2.96,4,128,8040,10.5,28448
548,Apple,iPad,96.0,4,64,7040,10.4,62900
549,Realme,Pad,2.3,8,64,8040,10.95,19999
550,Xiaomi,Pad,3.0,3,128,7100,10.9,34999
551,Samsung,Galaxy,2.2,6,128,8340,10.4,111999
552,Xiaomi,Mi,2.0,6,64,8720,14.6,28448
553,Realme,Pad,2.2,6,64,7100,10.95,16490
554,Samsung,Galaxy,2.0,6,64,8720,10.2,32999
555,Xiaomi,Mi,2.2,4,128,5299,10.28,29107
556,Samsung,Galaxy,2.0,12,32,11200,12.4,25999
557,Motorola,Moto,3.2,4,128,5299,10.28,19999
558,Lenovo,Tab,2.0,4,256,8340,10.36,23999
559,Xiaomi,Redmi,2.2,8,64,8600,10.4,19499
560,Realme,Pad,2.0,4,64,5299,10.28,25999
561,Apple,iPad,2.96,4,64,5299,10.28,28990
562,Xiaomi,Mi,96.0,4,128,5299,10.28,39999
563,OnePlus,Pad,3.2,6,64,10090,10.61,39999
564,Xiaomi,Mi,2.0,4,64,5299,10.28,29107
565,Nokia,T21,2.2,6,128,8720,10.61,18999
566,Samsung,Galaxy,2.0,4,256,8200,10.4,25999
567,Xiaomi,Redmi,2.65,4,64,5299,10.28,16999
568,Xiaomi,Redmi,65.0,4,64,7040,10.58,19499
569,Realme,Pad,3.2,4,64,5299,10.28,16490
570,Samsung,Galaxy,2.2,4,256,5299,10.28,22990
571,Samsung,Galaxy,2.0,4,128,8000,10.5,20999
572,Vivo,Pad,2.84,6,128,8000,10.4,28990
573,Realme,Pad,84.0,4,64,7100,10.95,14999
574,Realme,Pad,2.96,4,64,8040,10.9,27999
575,Xiaomi,Mi,96.0,4,64,7040,10.4,28448
576,Apple,iPad,2.3,8,128,8040,14.6,62900
577,Realme,Pad,3.0,4,64,5299,10.28,19999
578,Xiaomi,Pad,2.2,4,128,5299,10.28,34999
579,Samsung,Galaxy,2.2,4,64,5299,10.28,111999
580,Xiaomi,Mi,2.0,3,64,7100,10.95,28448
581,Realme,Pad,2.2,6,64,8340,10.2,16490
582,Samsung,Galaxy,2.0,4,64,5299,10.28,32999
583,Xiaomi,Mi,2.2,6,64,8720,12.4,29107
584,Samsung,Galaxy,2.0,6,128,7100,10.36,25999
585,Motorola,Moto,3.2,4,64,5299,10.28,19999
586,Lenovo,Tab,2.0,6,32,8720,10.4,23999
587,Xiaomi,Redmi,2.2,12,128,11200,10.61,19499
588,Realme,Pad,2.0,4,256,8340,10.61,25999
589,Apple,iPad,2.96,8,64,8600,10.4,28990
590,Xiaomi,Mi,96.0,6,128,10090,10.58,39999
591,OnePlus,Pad,3.2,6,128,8720,10.5,39999
592,Xiaomi,Mi,2.0,4,256,8200,10.4,29107
593,Nokia,T21,2.2,4,64,7040,10.95,18999
594,Samsung,Galaxy,2.0,4,64,8000,10.9,25999
595,Xiaomi,Redmi,2.65,6,256,8000,10.4,16999
596,Xiaomi,Redmi,65.0,4,128,7100,14.6,19499
597,Realme,Pad,3.2,4,128,8040,10.95,16490
598,Samsung,Galaxy,2.0,4,64,7040,10.2,22990
599,Samsung,Galaxy,2.84,8,64,8040,12.4,20999
600,Vivo,Pad,84.0,3,128,7100,10.36,28990
601,Realme,Pad,2.96,6,128,8340,10.4,14999
602,Realme,Pad,96.0,4,64,5299,10.28,27999
603,Xiaomi,Mi,2.2,6,64,8720,10.61,28448
604,Apple,iPad,2.3,6,64,7100,10.61,62900
605,Realme,Pad,3.0,4,64,5299,10.28,19999
606,Xiaomi,Pad,2.2,4,64,5299,10.28,34999
607,Samsung,Galaxy,2.0,6,128,8720,10.4,111999
608,Xiaomi,Mi,2.2,4,32,5299,10.28,28448
609,Realme,Pad,2.0,12,128,11200,10.58,16490
610,Samsung,Galaxy,2.2,4,256,5299,10.28,32999
611,Xiaomi,Mi,2.0,4,64,8340,10.5,29107
612,Samsung,Galaxy,3.2,8,128,8600,10.4,25999
613,Motorola,Moto,2.0,6,128,10090,10.95,19999
614,Lenovo,Tab,2.2,6,256,8720,10.9,23999
615,Xiaomi,Redmi,2.0,4,64,8200,10.4,19499
616,Realme,Pad,2.96,4,64,5299,10.28,25999
617,Apple,iPad,96.0,4,64,5299,10.28,28990
618,Xiaomi,Mi,3.2,4,256,7040,14.6,39999
619,OnePlus,Pad,2.0,4,128,8000,10.95,39999
620,Xiaomi,Mi,2.2,6,128,8000,10.2,29107
621,Nokia,T21,2.0,4,64,7100,12.4,18999
622,Samsung,Galaxy,2.65,4,64,8040,10.36,25999
623,Xiaomi,Redmi,65.0,4,128,7040,10.4,16999
624,Xiaomi,Redmi,3.2,8,128,8040,10.61,19499
625,Realme,Pad,2.0,4,64,5299,10.28,16490
626,Samsung,Galaxy,2.84,3,64,7100,10.61,22990
627,Samsung,Galaxy,84.0,4,64,5299,10.28,20999
628,Vivo,Pad,2.96,6,64,8340,10.4,28990
629,Realme,Pad,96.0,6,64,8720,10.58,14999
630,Realme,Pad,2.3,6,128,7100,10.5,27999
631,Xiaomi,Mi,3.0,6,32,8720,10.4,28448
632,Apple,iPad,2.2,12,128,11200,10.95,62900
633,Realme,Pad,2.0,4,64,5299,10.28,19999
634,Xiaomi,Pad,2.2,4,64,5299,10.28,34999
635,Samsung,Galaxy,2.0,4,256,8340,10.9,111999
636,Xiaomi,Mi,2.2,8,64,8600,10.4,28448
637,Realme,Pad,2.0,6,128,10090,14.6,16490
638,Samsung,Galaxy,3.2,6,128,8720,10.95,32999
639,Xiaomi,Mi,2.2,4,64,5299,10.28,29107
640,Samsung,Galaxy,2.0,4,256,8200,10.2,25999
641,Motorola,Moto,2.2,4,64,7040,12.4,19999
642,Lenovo,Tab,2.0,4,64,5299,10.28,23999
643,Xiaomi,Redmi,2.96,4,64,5299,10.28,19499
644,Realme,Pad,96.0,4,64,5299,10.28,25999
645,Apple,iPad,3.2,4,256,8000,10.36,28990
646,Xiaomi,Mi,2.0,6,128,8000,10.4,39999
647,OnePlus,Pad,2.2,4,128,5299,10.28,39999
648,Xiaomi,Mi,2.0,4,64,7100,10.61,29107
649,Nokia,T21,2.65,4,64,5299,10.28,18999
650,Samsung,Galaxy,65.0,4,128,8040,10.61,25999
651,Xiaomi,Redmi,3.2,4,128,5299,10.28,16999
652,Xiaomi,Redmi,2.0,4,64,7040,10.4,19499
653,Realme,Pad,2.84,4,64,5299,10.28,16490
654,Samsung,Galaxy,84.0,8,64,8040,10.58,22990
655,Samsung,Galaxy,2.96,3,64,7100,10.5,20999
656,Vivo,Pad,2.2,4,64,5299,10.28,28990
657,Realme,Pad,96.0,4,128,5299,10.28,14999
658,Realme,Pad,2.3,4,64,5299,10.28,27999
659,Xiaomi,Mi,3.0,6,32,8340,10.4,28448
660,Apple,iPad,2.2,6,128,8720,10.95,62900
661,Realme,Pad,2.0,6,256,7100,10.9,19999
662,Xiaomi,Pad,2.2,4,64,5299,10.28,34999
663,Samsung,Galaxy,2.0,4,64,5299,10.28,111999
664,Xiaomi,Mi,2.2,6,64,8720,10.4,28448
665,Realme,Pad,2.0,4,64,5299,10.28,16490
666,Samsung,Galaxy,3.2,4,64,5299,10.28,32999
667,Xiaomi,Mi,2.0,12,128,11200,14.6,29107
668,Samsung,Galaxy,2.2,4,64,5299,10.28,25999
669,Motorola,Moto,2.0,4,64,5299,10.28,19999
670,Lenovo,Tab,2.96,4,128,5299,10.28,23999
671,Xiaomi,Redmi,96.0,4,256,5299,10.28,19499
672,Realme,Pad,3.2,4,64,8340,10.95,25999
673,Apple,iPad,2.0,8,64,8600,10.2,28990
674,Xiaomi,Mi,2.2,4,64,5299,10.28,39999
675,OnePlus,Pad,2.0,6,256,10090,12.4,39999
676,Xiaomi,Mi,2.65,6,128,8720,10.28,29107
677,Nokia,T21,65.0,4,64,5299,10.28,18999
678,Samsung,Galaxy,3.2,4,128,8200,10.36,25999
679,Xiaomi,Redmi,2.0,4,64,5299,10.28,16999
680,Xiaomi,Redmi,2.84,4,64,5299,10.28,19499
681,Realme,Pad,84.0,4,64,7040,10.4,16490
682,Samsung,Galaxy,2.96,4,64,8000,10.28,22990
683,Samsung,Galaxy,96.0,6,128,8000,10.61,20999
684,Vivo,Pad,2.3,4,64,5299,10.28,28990
685,Realme,Pad,3.0,4,64,5299,10.28,14999
686,Realme,Pad,2.2,4,128,7100,10.61,27999
687,Xiaomi,Mi,2.0,4,64,8040,10.4,28448
688,Apple,iPad,2.2,4,64,7040,10.58,62900
689,Realme,Pad,2.0,4,64,5299,10.28,19999
690,Xiaomi,Pad,2.2,4,64,5299,10.28,34999
691,Samsung,Galaxy,2.0,8,64,8040,10.28,111999
692,Xiaomi,Mi,3.2,3,128,7100,10.5,28448
693,Realme,Pad,2.0,6,32,8340,10.4,16490
694,Samsung,Galaxy,2.2,6,128,8720,10.95,32999
695,Xiaomi,Mi,2.0,4,256,5299,10.28,29107
696,Samsung,Galaxy,2.96,6,64,7100,10.9,25999
697,Motorola,Moto,96.0,6,128,8720,10.4,19999
698,Lenovo,Tab,3.2,4,128,5299,10.28,23999
699,Xiaomi,Redmi,2.0,12,256,11200,14.6,19499
