,Brands,Model,Colors,RAM,ROM,Battery,Screen_Size,Prices
161,APPLE,iPad,10th Gen) 64 GB ROM 10.9 inch with Wi-Fi+5G ,16,16,2685,27.69,57166
162,APPLE,iPad,3rd Generation) 8 GB RAM 512 GB ROM 11 inches with Wi-Fi Only ,1,64,2685,27.94,96900
163,Alcatel,3T10,Prime Black),2,128,8000,25.4,9999
164,Alcatel,3T8,2nd Gen) 2 GB RAM 32 GB ROM 8 inches with Wi-Fi+4G Tablet ,2,64,2685,20.32,9499
165,APPLE,iPad,6th Gen) 1 TB ROM 12.9 inch with Wi-Fi Only ,2,32,2685,32.77,181900
166,TCL,10,Grey),16,64,4080,26.31,17999
167,Lenovo,Tab,Abyss Blue),2,64,2685,26.16,14999
168,APPLE,iPad,10th Gen) 64 GB ROM 10.9 inch with Wi-Fi+5G ,6,512,4080,27.69,57166
169,Honor,Pad,Glacial Blue),2,64,2685,20.32,14999
170,APPLE,iPad,6th Gen) 2 TB ROM 12.9 inch with Wi-Fi+5G ,2,16,2685,32.77,236900
171,APPLE,iPad,6th Gen) 1 TB ROM 12.9 inch with Wi-Fi Only ,6,32,8000,32.77,181900
172,Alcatel,3T8,2nd Gen) 2 GB RAM 32 GB ROM 8 inches with Wi-Fi+4G Tablet ,2,64,2685,20.32,9499
173,Lenovo,Tab,2nd Gen) with Active Pen 4 GB RAM 128 GB ROM 10.3 inches with Wi-Fi Only Tabl...,2,64,2685,26.16,18999
174,APPLE,iPad,5th Generation) 16 GB RAM 1 TB ROM 12.9 inches with Wi-Fi+5G ,2,64,2685,32.77,167900
175,Pebble,Quad,Black),2,64,2685,17.78,6488
176,Alcatel,3T10,Prime Black),2,64,2685,25.4,9999
177,APPLE,iPad,3rd Generation) 16 GB RAM 1 TB ROM 11 inches with Wi-Fi+5G ,2,64,2685,27.94,143900
178,APPLE,iPad,6th Gen) 1 TB ROM 12.9 inch with Wi-Fi+5G ,2,64,2685,32.77,196900
179,Swipe,X1,Space Grey),2,64,2685,25.65,18999
180,APPLE,iPad,4th Generation) 6 GB RAM 512 GB ROM 12.9 inch with Wi-Fi Only ,2,32,2685,32.77,113476
181,APPLE,iPad,4th Gen) 64 GB ROM 10.9 inch with Wi-Fi+4G ,2,64,7500,27.69,63845
182,APPLE,iPad,10th Gen) 64 GB ROM 10.9 inch with Wi-Fi+5G ,2,32,2685,27.69,57500
183,ankikrit,ENVT10DM2,Grey),2,64,5100,25.4,10640
184,APPLE,iPad,2nd Generation) 6 GB RAM 1 TB ROM 11 inch with Wi-Fi Only ,6,128,4080,27.94,113476
185,APPLE,iPad,2nd Generation) 6 GB RAM 1 TB ROM 11 inch with Wi-Fi Only ,2,64,2685,27.94,113476
186,APPLE,iPad,2nd Generation) 6 GB RAM 1 TB ROM 11 inch with Wi-Fi+4G ,6,16,5000,27.94,127031
187,APPLE,iPad,4th Gen) 256 GB ROM 10.9 inch with Wi-Fi+4G ,2,64,2685,27.69,76900
188,APPLE,iPad,5th Generation) 16 GB RAM 2 TB ROM 12.9 inches with Wi-Fi+5G ,6,16,3400,32.77,212900
189,TCL,10,Grey),16,128,4080,26.31,16499
190,APPLE,iPad,6th Gen) 2 TB ROM 12.9 inch with Wi-Fi Only ,4,512,7000,32.77,222900
191,APPLE,iPad,4th Gen) 64 GB ROM 10.9 inch with Wi-Fi+4G ,4,64,5020,27.69,63900
192,TCL,10,Blue),2,64,2685,26.31,14499
193,APPLE,iPad,3rd Generation) 16 GB RAM 2 TB ROM 11 inches with Wi-Fi Only ,2,64,2685,27.94,165900
194,APPLE,ipad,2019) 256 GB ROM 7.9 inch with Wi-Fi Only ,2,32,2685,20.07,44900
195,APPLE,iPad,2nd Generation) 6 GB RAM 512 GB ROM 11 inch with Wi-Fi+4G ,2,64,2685,27.94,112900
196,APPLE,iPad,5th Generation) 16 GB RAM 2 TB ROM 12.9 inches with Wi-Fi Only ,2,256,2685,32.77,187900
197,MOTOROLA,Tab,Frost Blue),16,64,8000,26.95,15499
198,APPLE,ipad,2019) 256 GB ROM 7.9 inch with Wi-Fi+4G ,2,64,2685,20.07,55900
199,APPLE,iPad,4th Gen) 64 GB ROM 10.9 inch with Wi-Fi+4G ,2,64,2685,27.69,63845
200,APPLE,ipad,2019) 256 GB ROM 7.9 inch with Wi-Fi+4G ,2,64,2685,20.07,55900
201,SAMSUNG,Galaxy,Chiffon Pi...,6,256,8000,26.42,24999
202,APPLE,iPad,6th Gen) 128 GB ROM 12.9 inch with Wi-Fi+5G ,2,64,2685,32.77,122061
203,APPLE,iPad,4th Gen) 256 GB ROM 10.9 inch with Wi-Fi+4G ,2,512,2685,27.69,76900
204,Honor,Pad,Glacial Blue),2,64,2685,20.32,16999
205,Alcatel,TKEE,Yellow),2,64,2685,20.32,10499
206,Wishtel,IRA,Black),2,256,2685,26.42,20499
207,Swipe,X1,Glacier Blu...,2,64,2685,25.65,18999
208,Lenovo,Tab,Slate Grey),16,256,7700,29.21,35999
209,Huawei,MatePad,WiFi Edition) 2 GB RAM 32 GB ROM 8 inch with Wi-Fi Only Tablet ,2,64,2685,20.32,15990
210,Swipe,Slate,Grey),2,64,2685,25.65,10999
211,APPLE,iPad,6th Gen) 512 GB ROM 12.9 inch with Wi-Fi Only ,2,128,2685,32.77,136376
212,TCL,10,Blue),2,64,2685,26.31,17999
213,APPLE,iPad,4th Gen) 64 GB ROM 10.9 inch with Wi-Fi+4G ,4,256,7040,27.69,63845
